0,200,2,0,3,1,3,0,2,1,4,1,1,1
0,500,2,0,3,1,4,0,1,1,3,0,1,1
1,200,6,3,8,6,6,2,3,4,5,2,3,4
1,500,6,3,8,6,5,2,4,4,5,1,3,4
2,200,2,2,2,4,2,2,2,4,3,2,1,4
2,500,2,2,2,4,3,0,1,6,2,0,1,6
3,200,0,12,0,14,0,4,0,7,0,4,0,6
3,500,0,12,0,15,0,1,0,10,0,1,0,10
4,200,0,3,1,3,0,4,1,2,1,4,0,2
4,500,0,3,1,3,1,0,0,6,1,0,0,6
5,200,0,1,1,2,0,0,1,3,1,0,1,3
5,500,0,1,1,2,0,0,1,3,1,0,1,3
6,200,1,1,0,3,1,1,0,3,1,1,1,3
6,500,1,1,0,3,1,1,0,3,1,1,1,3
7,200,5,0,5,1,5,0,7,1,10,0,2,1
7,500,5,0,7,0,7,1,5,1,8,1,1,1
8,200,1,2,1,4,2,1,0,6,2,1,0,5
8,500,1,3,1,4,2,0,0,7,2,0,0,6
9,200,3,2,1,4,4,2,0,3,3,2,0,2
9,500,0,2,0,3,3,2,3,3,3,1,2,4
10,200,1,1,0,0,1,1,0,0,1,0,1,1
10,500,1,1,0,0,1,0,0,1,1,1,1,1
11,200,2,2,5,2,3,0,0,2,3,0,0,2
11,500,2,2,5,2,3,1,0,1,3,0,0,2
12,200,6,2,6,6,8,1,1,2,7,1,1,2
12,500,6,2,6,6,8,1,1,4,5,1,4,4
13,200,1,0,2,2,3,0,0,2,3,1,0,2
13,500,1,0,2,2,3,0,0,2,3,0,0,2
14,200,2,0,2,0,3,0,1,0,3,0,1,0
14,500,2,0,2,0,2,0,2,0,2,0,2,0
15,200,0,1,0,2,1,1,1,2,1,0,1,2
15,500,0,1,1,2,1,0,0,3,1,0,0,3
16,200,5,0,4,1,5,0,2,1,5,0,2,1
16,500,5,0,4,1,6,0,1,1,6,0,1,1
17,200,0,1,0,1,1,2,1,2,1,2,1,2
17,500,0,1,0,1,1,1,1,3,1,1,1,2
18,200,3,4,4,7,1,2,2,6,2,2,2,6
18,500,3,3,4,7,3,1,0,6,2,3,1,4
19,200,6,3,4,4,3,2,3,2,3,2,3,2
19,500,6,3,4,4,4,1,2,3,4,1,2,3
20,200,0,2,0,5,0,0,0,3,0,0,0,3
20,500,0,2,0,5,0,0,0,3,0,0,0,3
21,200,0,2,0,2,0,0,0,4,0,1,0,3
21,500,0,2,0,2,0,1,0,3,0,0,0,4
22,200,4,5,6,10,6,3,2,5,5,5,1,3
22,500,4,5,4,8,7,4,0,5,7,3,0,5
23,200,0,0,0,0,2,1,2,1,2,1,2,1
23,500,0,0,0,0,2,1,2,1,2,1,2,1
24,200,3,2,5,6,6,2,1,3,6,2,1,3
24,500,3,2,5,6,7,2,0,3,6,2,1,3
25,200,6,0,7,0,4,0,0,0,4,0,0,0
25,500,6,0,7,0,4,0,0,0,4,0,0,0
26,200,1,6,1,3,3,2,1,3,3,1,1,3
26,500,1,6,1,3,2,2,2,3,2,1,2,3
27,200,1,0,1,3,1,0,1,3,1,0,1,3
27,500,0,0,1,2,2,1,0,3,2,2,0,3
28,200,1,3,1,7,2,0,2,6,3,0,2,5
28,500,1,3,1,7,3,0,1,6,3,0,1,6
