0,200,True,minimal,majority,True,True,|,6,58,0,0,0,2,2,0,0,2,2,6,4,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,2,2,4
0,200,False,minimal,majority,True,True,|,6,33,0,0,0,3,3,1,0,2,2,5,5,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,3,4
0,200,False,minimal,majority,False,False,|,6,18,0,0,0,0,0,9,3,2,2,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,1,2,4
0,300,True,minimal,majority,True,True,|,6,33,0,0,0,4,3,1,0,2,2,1,1,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,4,4
0,300,False,minimal,majority,True,True,|,6,24,0,0,0,4,3,1,0,2,2,1,1,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,4,4
0,300,False,minimal,majority,False,False,|,6,14,0,0,0,0,0,6,3,2,2,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,4,4
0,400,True,minimal,majority,True,True,|,6,59,0,0,0,2,2,1,0,4,4,4,3,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,3,4
0,400,False,minimal,majority,True,True,|,6,37,0,0,0,2,2,0,0,2,2,5,4,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,2,2,4
0,400,False,minimal,majority,False,False,|,6,22,0,0,0,0,0,7,3,2,2,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,2,3,4
0,500,True,minimal,majority,True,True,|,6,33,0,0,0,4,3,1,0,2,2,1,1,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,4,4
0,500,False,minimal,majority,True,True,|,6,24,0,0,0,4,3,1,0,2,2,1,1,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,4,4
0,500,False,minimal,majority,False,False,|,6,14,0,0,0,0,0,6,3,2,2,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,3,4,4
1,200,True,minimal,majority,True,True,|,15,173,0,1,1,7,5,1,1,9,8,20,15,|,6,21,1,7,7,1,1,0,0,0,0,0,0,|,7,7,11
1,200,False,minimal,majority,True,True,|,15,84,0,1,1,7,5,1,1,3,2,12,6,|,6,18,1,7,7,1,1,0,0,0,0,0,0,|,7,7,11
1,200,False,minimal,majority,False,False,|,15,52,0,0,0,0,0,20,12,4,3,0,0,|,4,18,0,0,0,0,0,2,2,5,5,0,0,|,6,6,11
1,300,True,minimal,majority,True,True,|,15,144,0,0,0,4,3,7,3,5,4,11,5,|,7,26,0,8,8,2,2,0,0,0,0,0,0,|,6,10,11
1,300,False,minimal,majority,True,True,|,15,105,0,0,0,4,3,8,3,6,5,11,5,|,7,22,0,8,8,2,2,0,0,0,0,0,0,|,9,12,11
1,300,False,minimal,majority,False,False,|,15,60,0,0,0,0,0,23,12,6,5,0,0,|,10,63,0,0,0,0,0,6,4,15,15,0,0,|,8,12,11
1,400,True,minimal,majority,True,True,|,15,94,0,0,0,9,7,3,0,5,5,2,2,|,5,16,0,3,3,4,4,0,0,0,0,0,0,|,5,5,11
1,400,False,minimal,majority,True,True,|,15,66,0,1,1,9,7,2,0,4,4,1,1,|,5,14,0,3,3,4,4,0,0,0,0,0,0,|,5,5,11
1,400,False,minimal,majority,False,False,|,15,46,0,0,0,0,0,14,7,5,5,0,0,|,4,18,0,0,0,0,0,2,2,6,6,0,0,|,4,4,11
1,500,True,minimal,majority,True,True,|,15,158,0,0,0,6,5,6,2,8,7,12,8,|,5,16,0,3,3,4,4,0,0,0,0,0,0,|,9,11,11
1,500,False,minimal,majority,True,True,|,15,112,0,0,0,6,5,5,2,9,8,13,9,|,5,14,0,3,3,4,4,0,0,0,0,0,0,|,9,9,11
1,500,False,minimal,majority,False,False,|,15,70,0,0,0,0,0,24,11,9,8,0,0,|,5,20,0,0,0,0,0,4,4,6,6,0,0,|,9,11,11
2,200,True,minimal,majority,True,True,|,10,58,0,0,0,6,5,1,1,3,2,4,4,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,6,6,8
2,200,False,minimal,majority,True,True,|,10,39,0,0,0,6,5,0,0,3,2,5,4,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,4,4,8
2,200,False,minimal,majority,False,False,|,10,20,0,0,0,0,0,11,6,3,2,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,4,6,8
2,300,True,minimal,majority,True,True,|,10,55,0,0,0,5,5,1,1,4,4,1,1,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,8,8,8
2,300,False,minimal,majority,True,True,|,10,42,0,0,0,5,5,1,1,5,5,2,2,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,8,8,8
2,300,False,minimal,majority,False,False,|,10,24,0,0,0,0,0,8,6,5,5,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,7,7,8
2,400,True,minimal,majority,True,True,|,10,119,0,0,0,3,1,8,8,3,3,7,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,5,5,8
2,400,False,minimal,majority,True,True,|,10,29,0,0,0,8,6,0,0,3,3,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,6,6,8
2,400,False,minimal,majority,False,False,|,10,17,0,0,0,0,0,8,6,3,3,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,6,6,8
2,500,True,minimal,majority,True,True,|,10,94,0,0,0,4,3,4,3,7,4,8,0,|,1,5,0,2,2,0,0,0,0,0,0,0,0,|,6,7,8
2,500,False,minimal,majority,True,True,|,10,63,0,0,0,4,3,4,3,7,4,8,0,|,1,4,0,2,2,0,0,0,0,0,0,0,0,|,6,7,8
2,500,False,minimal,majority,False,False,|,10,35,0,0,0,0,0,16,14,7,4,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,8,8,8
3,200,True,minimal,majority,True,True,|,11,56,0,0,0,8,5,0,0,2,2,2,1,|,1,6,0,1,0,1,1,0,0,0,0,0,0,|,2,2,8
3,200,False,minimal,majority,True,True,|,11,31,1,0,0,8,6,0,0,2,2,2,2,|,3,12,2,4,3,0,0,0,0,0,0,0,0,|,6,8,8
3,200,False,minimal,majority,False,False,|,11,16,0,0,0,0,0,11,6,2,2,0,0,|,1,2,0,0,0,0,0,1,1,0,0,0,0,|,5,5,8
3,300,True,minimal,majority,True,True,|,11,46,0,0,0,9,6,0,0,1,1,2,2,|,1,6,2,0,0,0,0,0,0,0,0,0,0,|,3,3,8
3,300,False,minimal,majority,True,True,|,11,32,0,0,0,9,6,1,0,1,1,2,2,|,1,4,2,0,0,0,0,0,0,0,0,0,0,|,3,3,8
3,300,False,minimal,majority,False,False,|,11,16,0,0,0,0,0,12,6,1,1,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,2,3,8
3,400,True,minimal,majority,True,True,|,11,58,0,0,0,7,6,1,0,3,3,3,3,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,5,5,8
3,400,False,minimal,majority,True,True,|,11,41,0,0,0,7,6,1,0,3,3,3,3,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,5,5,8
3,400,False,minimal,majority,False,False,|,11,22,0,0,0,0,0,11,6,3,3,0,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,|,5,7,8
3,500,True,minimal,majority,True,True,|,11,85,0,0,0,5,5,0,0,5,4,4,1,|,2,10,0,4,4,0,0,0,0,0,0,0,0,|,8,8,8
3,500,False,minimal,majority,True,True,|,11,42,0,0,0,7,6,0,0,4,4,2,2,|,2,8,0,4,4,0,0,0,0,0,0,0,0,|,8,8,8
3,500,False,minimal,majority,False,False,|,11,25,0,0,0,0,0,9,6,4,4,0,0,|,2,18,0,0,0,0,0,5,0,3,3,0,0,|,7,8,8
